job_id,company,tier,category,track,title,location,remote_type,url,posted_date,first_seen,last_seen,status,fit_score,key_reqs,notes
lexisnexis-R111919,LexisNexis,1,ic,,Data Scientist,Remote (US),Remote,https://relx.wd3.myworkdayjobs.com/job/Remote---USA---Nationwide/Data-Scientist_R111919-1,Posted 7 Days Ago,2026-05-14,2026-06-06,closed,8,"SQL, Python, Excel for model optimization and analytics
Fraud detection and cybercrime domain knowledge
Client-facing consulting and presentation skills
BI tools: Superset, PowerBI, Snowflake, Jupyter
Git, Jira for research project management",
lexisnexis-R112516,LexisNexis,1,ic,,Senior Data Scientist I,"Alpharetta, GA",Unclear,https://relx.wd3.myworkdayjobs.com/job/Alpharetta-GA/Senior-Data-Scientist-I_R112516-1,Posted 8 Days Ago,2026-05-14,2026-06-23,closed,5,"4+ yrs exp (or MS + 2 yrs, or PhD) in data science/actuarial science
Strong Python expertise; R, SQL, ECL a plus
Actuarial science foundation: pricing, risk segmentation, model development
Statistical & ML modeling: linear/non-linear, GLM, tree-based methods
Data pipeline design, model validation, production deployment experience",
lexisnexis-R87345,LexisNexis,1,ic,,Senior Data Scientist III,"Raleigh, NC; Remote (US Nationwide)",Remote,https://relx.wd3.myworkdayjobs.com/job/Raleigh-NC/Senior-Data-Scientist-III_R87345,Posted 24 Days Ago,2026-05-14,2026-06-17,closed,6,"NLP, LLM, and generative AI expertise (RAG, prompt engineering)
Agent framework experience (LangChain, LangGraph, AutoGen)
Hybrid search design (semantic + lexical) with vector databases
Python proficiency and large-scale data analysis
Leadership/mentoring experience; Bachelor's/Master's in CS/DS/Stats",
lexisnexis-R111365,LexisNexis,1,ic,,Senior Data Scientist I,"Alpharetta, GA",Unclear,https://relx.wd3.myworkdayjobs.com/job/Alpharetta-GA/Senior-Data-Scientist-I_R111365-1,Posted 30 Days Ago,2026-05-14,2026-07-04,closed,5,"Master's in relevant field + 2+ years DS/ML experience
Advanced statistical & predictive modeling expertise
Python, SQL, R proficiency for production models
Structured & unstructured data handling at scale
Risk segmentation & model validation experience",
lexisnexis-R110788,LexisNexis,1,ic,,Senior Data Scientist II,"Alpharetta, GA",Unclear,https://relx.wd3.myworkdayjobs.com/job/Alpharetta-GA/Senior-Data-Scientist-II_R110788-2,Posted 30+ Days Ago,2026-05-14,2026-06-15,closed,6,"Master's or PhD in related discipline or equivalent DS experience
Python/R, ML libraries (scikit-learn, XGBoost, PyTorch), SQL
AWS/Azure cloud ML workloads, LLM/RAG experience
Neural network training/fine-tuning, model evaluation metrics
Software engineering best practices, testing, version control",
lexisnexis-R110286,LexisNexis,1,ic,,Senior Data Scientist III,"Minneapolis, MN; Atlanta, GA; Florida; Texas",Unclear,https://relx.wd3.myworkdayjobs.com/job/Minneapolis-MN/Senior-Data-Scientist-III_R110286-1,Posted 30+ Days Ago,2026-05-14,2026-08-09,closed,3,"10+ years experience (or MS + 5+ years)
Python, SQL, Pandas, NumPy, Java proficiency
GenAI, LLM, prompt engineering expertise
ML/statistical modeling & large dataset handling
US Citizen or Greencard holder (compliance)",
aig-JR2601702,AIG,1,ic,,"AI Model Validation Lead, GenAI","Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/AI-Model-Validation-Lead--GenAI_JR2601702,Posted 6 Days Ago,2026-05-14,2026-08-31,closed,3,"10+ years AI/ML model validation or model risk management
Master's/PhD in CS, Statistics, Mathematics, or Engineering
Python/R/Java, ML frameworks, deep learning, NLP expertise
Data governance, ethical AI, regulatory compliance knowledge
Model validation tools, version control, documentation",
aig-JR2601795,AIG,1,ic,,"AI Sandbox Product Owner, GenAI","Atlanta, GA; New York, NY; Jersey City, NJ",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/AI-Sandbox-Product-Owner--GenAI_JR2601795-1,Posted 6 Days Ago,2026-05-14,2026-06-24,closed,4,"5+ years product ownership/management in AI or data science
Strong AI technologies and sandbox architecture understanding
Cross-functional team leadership and stakeholder management
Regulatory compliance and agile methodologies expertise
Bachelor's degree (Master's preferred) in CS/Engineering/Business",
aig-JR2600946,AIG,1,ic,,Scrum Master - GenAI,"Atlanta, GA or Jersey City, NJ",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/Scrum-Master---GenAI_JR2600946,Posted 22 Days Ago,2026-05-14,2026-08-18,closed,3,"PMP, CSPO, CSM or relevant agile certification
Scrum Master or Project Manager in Agile environment
Experience with Jira, Rally, or project management tools
Cross-functional team leadership and stakeholder management
Agile methodologies (Scrum, Kanban, Lean)",
aig-JR2600925,AIG,1,ic,,"Ph.D. Research Data Scientist, GenAI","Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/PhD-Research-Data-Scientist--GenAI_JR2600925,Posted 23 Days Ago,2026-05-14,2026-08-31,closed,5,"Ph.D. with 2+ years industry experience in AI/ML
Agentic AI design & deployment (CrewAI, LangChain, Claude Agent SDK)
RAG, Knowledge Graph, Model Context Protocol (MCP) implementation
Strong GenAI research background; publications preferred
Multi-modal LLMs, fine-tuning, RLHF, reinforcement learning expertise",
aig-JR2600982,AIG,1,ic,,GenAI Software Engineer (Full Stack),"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Software-Engineer--Full-Stack-_JR2600982,Posted 30+ Days Ago,2026-05-14,2026-05-21,closed,5,"Palantir Foundry or ReactJS on Palantir (required)
Java or Python proficiency with OOP
Spring Boot microservices architecture
AWS/cloud-native (Terraform, Lambda, API Gateways)
Angular front-end development",
aig-JR2601293,AIG,1,ic,,GenAI Software Engineer (Full Stack),"Atlanta, GA or Charlotte, NC",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Software-Engineer--Full-Stack-_JR2601293,Posted 30+ Days Ago,2026-05-14,2026-05-21,closed,5,"Palantir Foundry or ReactJS on Palantir experience (required)
Java or Python proficiency with OOP design
Microservices (Spring Boot), cloud-native (AWS/Terraform)
Angular frontend development, CI/CD pipelines
MuleSoft integration experience preferred",
aig-JR2601370,AIG,1,ic,,GenAI Data Modeler,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Data-Modeler_JR2601370-2,Posted 30+ Days Ago,2026-05-14,2026-08-31,closed,5,"5+ years Data Architecture & Data Modelling experience
Snowflake, dimensional/data vault modelling, ER modelling
Data governance, security, privacy best practices
SQL, ETL tools, NoSQL (MongoDB), XML/JSON
AI/LLM integration enthusiasm, Palantir Foundry advantageous",
aig-JR2501570,AIG,1,ic,,GenAI Product Analyst,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Product-Analyst_JR2501570,Posted 30+ Days Ago,2026-05-14,2026-08-31,closed,6,"Experience launching data-driven digital products
User research, field validation, behavior analysis
Data analysis and analytics tools for insights
Product roadmap, backlog, sprint planning, user stories
GenAI/AI passion; financial services/insurance preferred",
aig-JR2601179,AIG,1,rotational,Mixed Business,"2026 – Early Career – Global Business Operations – Business Analyst Rotational Apprentice Program – Atlanta, GA","Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/XMLNAME-2026---Early-Career---Global-Business-Operations---Business-Analyst-Rotational-Apprentice-Program---Atlanta--GA_JR2601179,Posted 30+ Days Ago,2026-05-14,2026-06-11,closed,3,"Associate degree candidate (30+ credit hours completed by start)
Microsoft Office Suite proficiency (Word, Excel, PowerPoint)
Analytical and problem-solving skills
Cross-functional collaboration and communication
2-year apprenticeship commitment (Aug 2026–May 2028)",
aig-JR2601035,AIG,1,ic,,"Data Scientist, GenAI","Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/Data-Scientist--GenAI_JR2601035,Posted 30+ Days Ago,2026-05-14,2026-08-31,closed,4,"5+ years data science, NLP/ML in production-oriented environment
5+ years practical LLM experience (Llama, Mixtral, prompt engineering, fine-tuning)
3+ years GenAI solutions, RAG frameworks, validation & monitoring
Expert Python proficiency (PyTorch, Pandas, Scikit-learn)
Master's in Data Science, CS, or related quantitative field",
aig-JR2600924,AIG,1,ic,,Data Quality Analyst - GenAI,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/Data-Quality-Analyst---GenAI_JR2600924,Posted 30+ Days Ago,2026-05-14,2026-08-11,closed,7,"Data profiling on Snowflake, Foundry, Excel
Data quality analysis and rule validation
Cross-functional collaboration with dev teams
Attention to detail identifying data anomalies
Experience with large datasets and data governance",
aig-JR2600191,AIG,1,ic,,Palantir GenAI Software Engineer (Full Stack),"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Principal-Software-Engineer--Full-Stack-_JR2600191,Posted 30+ Days Ago,2026-05-14,2026-05-21,closed,5,"Palantir Foundry or ReactJS on Palantir (required)
Java or Python + OOP proficiency
Spring Boot microservices architecture
AWS/cloud-native (Terraform, Lambda, API Gateways)
Angular frontend development + CI/CD pipelines",
aig-JR2600811,AIG,1,ic,,Full-Stack Software Engineer - GenAI,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/Full-Stack-Software-Engineer---GenAI_JR2600811,Posted 30+ Days Ago,2026-05-14,2026-05-24,closed,6,"3+ years professional software development experience
Python, Typescript, Java, or JavaScript/React proficiency
Palantir Foundry data pipeline design and development
CI/CD pipelines, containerization, API design
Testing frameworks (pytest, unittest), E2E monitoring",
aig-JR2600810,AIG,1,ic,,Senior Full Stack Software Engineer - GenAI,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/Senior-Full-Stack-Software-Engineer---GenAI_JR2600810-1,Posted 30+ Days Ago,2026-05-14,2026-08-31,closed,4,"7+ years professional software development experience
Python, Typescript, Java, or JavaScript/React proficiency
Palantir Foundry data pipeline design and implementation
CI/CD pipelines, containerization, API design
Team leadership and mentoring experience",
aig-JR2600775,AIG,1,ic,,GenAI Product Designer,"Atlanta, GA",Onsite,https://aig.wd1.myworkdayjobs.com/job/GA-Atlanta/GenAI-Product-Designer_JR2600775,Posted 30+ Days Ago,2026-05-14,2026-06-03,closed,3,"Product design experience, Figma, design systems
Responsive web design, mobile/native platforms
Cross-functional collaboration, wireframes & prototypes
Front-end tech familiarity (Angular, HTML, CSS)
GenAI/insurance domain experience preferred",
